species;order;family;temperature;int_rate;int_rate_se;sample_size;reference;doi;observations_i;observations_ii;feed_guild;source_dataset;lat;lon;body_length_mm;type_length;source_length
Oryzaephilus surinamensis;Coleoptera;Silvanidae;20;0.011245536;;;beckett1994;10.1016/0022-474X(94)90190-8;rh50;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;22.5;0.034392526;;;beckett1994;10.1016/0022-474X(94)90190-9;rh50;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;25;0.059005196;;;beckett1994;10.1016/0022-474X(94)90190-10;rh50;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;30;0.092098851;;;beckett1994;10.1016/0022-474X(94)90190-11;rh50;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;32.5;0.105110792;;;beckett1994;10.1016/0022-474X(94)90190-12;rh50;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;35;0.039043458;;;beckett1994;10.1016/0022-474X(94)90190-13;rh50;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;20;0.012795206;;;beckett1994;10.1016/0022-474X(94)90190-14;rh70;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;22.5;0.04186324;;;beckett1994;10.1016/0022-474X(94)90190-15;rh70;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;25;0.065319279;;;beckett1994;10.1016/0022-474X(94)90190-16;rh70;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;30;0.11443065;;;beckett1994;10.1016/0022-474X(94)90190-17;rh70;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;32.5;0.125791313;;;beckett1994;10.1016/0022-474X(94)90190-18;rh70;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Oryzaephilus surinamensis;Coleoptera;Silvanidae;35;0.083452717;;;beckett1994;10.1016/0022-474X(94)90190-19;rh70;;stored product pest;frazier2006;-35.28099836;149.130078;2.5;adults;Purdue University
Sitophilus oryzae;Coleoptera;Curculionidae;15.2;0.000714286;;;birch1953;10.2307/1931333;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;18.2;0.02;;;birch1953;10.2307/1931334;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;23;0.061428571;;;birch1953;10.2307/1931335;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
