reference;species;model_name;model_AIC;criterion;observations;decision;;;;;;;;;;;;;;;;;;;
bruce2009;Telenomus isis;deutsch_2008;-134.31;ecological and smaller uncertainty;;pass;;;;;;;;;;;;;;;;;;;
cao2018;Thrips hawaiiensis;gaussian_1987;-29.53;smaller uncertainty and best fit;;pass;;;;;;;;;;;;;;;;;;;
chen2015;Phenacoccus solenopsis;deutsch_2008;-60.27;ecological;;choose;;;;;;;;;;;;;;;;;;;
chen2015;Phenacoccus solenopsis;gaussian_1987;-62.11;smaller uncertainty;;discard;;;;;;;;;;;;;;;;;;;
chen2016;Oligonychus litchii;deutsch_2008;-21.09;all;;pass;;;;;;;;;;;;;;;;;;;
chen2019;Grapholita molesta;deutsch_2008;-50.27;all;;pass;;;;;;;;;;;;;;;;;;;
chi2016;Agriphila aeneociliella;gaussian_1987;-41.44;smaller uncertainty;;pass;;;;;;;;;;;;;;;;;;;
chiu2019;Bactrocera dorsalis;gaussian_1987;-13.05;single converged;high uncertainty;choose_condition;;;;;;;;;;;;;;;;;;;
choudary2020;Bactrocera zonata;gaussian_1987;-29.58;single converged;;pass;;;;;;;;;;;;;;;;;;;
danthanarayana1995;Epiphyas postvittana;deutsch_2008;-109.7;all;;pass;;;;;;;;;;;;;;;;;;;
davis2006;Myzus persicae;deutsch_2008;-3.89;all;high uncertainty and poor fitting;drop;;;;;;;;;;;;;;;;;;;
decampos2020;Tuta absoluta;deutsch_2008;-28.44;ecological;ctmin realistic;pass;;;;;;;;;;;;;;;;;;;
delpino2020;Chrysodeixis chalcites;gaussian_1987;-16.77;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
devis2002;Amitus fuscipennis;gaussian_1987;-38.35;smaller uncertainty and best fit;;pass;;;;;;;;;;;;;;;;;;;
dong2007;Liposcelis tricolor;pawar_2018;-59.95;all;;pass;;;;;;;;;;;;;;;;;;;
dreyer1996;Clavigralla shadabi;gaussian_1987;-24.16;smaller uncertainty and best fit;;pass;;;;;;;;;;;;;;;;;;;
dreyer1996;Clavigralla tomentosicollis;deutsch_2008;-40.62;ecological;;pass;;;;;;;;;;;;;;;;;;;
dreyer1997;Hyperaspis notata;pawar_2018;-48.84;all;;pass;;;;;;;;;;;;;;;;;;;
erkiliç1997;Pseudaulacaspis pentagona;gaussian_1987;-26.49;single converged;;pass;;;;;;;;;;;;;;;;;;;
fand2014;Phenacoccus solenopsis;deutsch_2008;-37.2;all;;pass;;;;;;;;;;;;;;;;;;;
fidelis2019;Raoiella indica;gaussian_1987;-19.16;single converged;high uncertainty and poor fitting;drop;;;;;;;;;;;;;;;;;;;
fonseca2019;Opogona sacchari;gaussian_1987;-13.28;smaller uncertainty and best fit;;pass;;;;;;;;;;;;;;;;;;;
gao2013;Acyrthosiphon gossypii;gaussian_1987;-20.26;single converged;high uncertainty;drop;;;;;;;;;;;;;;;;;;;
